case_id,pair_id,category,request,feasible,terminal_goal_ids,trust_policy_id,artifact_contract_id,derived_status,required_unknown_terms,forbidden_capability_ids,forbidden_agent_ids,reviewer_rationale,reviewed_at
v08-con-01-feasible,v08-con-pair-01,low_overlap_paraphrase,"For this document review work, assemble the source material, quality-check it, and send the finalized outcome under standard assurance in structured JSON.",,,,,,,,,,
v08-con-01-infeasible,v08-con-pair-01,low_overlap_paraphrase,"For this document review work, assemble the source material, quality-check it, and keep the finalized outcome for long-term records under standard assurance in structured JSON.",,,,,,,,,,
v08-con-02-feasible,v08-con-pair-02,low_overlap_paraphrase,"For this travel logistics work, assemble the source material, quality-check it, and send the finalized outcome under standard assurance in structured JSON.",,,,,,,,,,
v08-con-02-infeasible,v08-con-pair-02,low_overlap_paraphrase,"For this travel logistics work, assemble the source material, quality-check it, and keep the finalized outcome for long-term records under standard assurance in structured JSON.",,,,,,,,,,
v08-con-03-feasible,v08-con-pair-03,low_overlap_paraphrase,"For this data analytics work, assemble the source material, quality-check it, and send the finalized outcome under standard assurance in structured JSON.",,,,,,,,,,
v08-con-03-infeasible,v08-con-pair-03,low_overlap_paraphrase,"For this data analytics work, assemble the source material, quality-check it, and keep the finalized outcome for long-term records under standard assurance in structured JSON.",,,,,,,,,,
v08-con-04-feasible,v08-con-pair-04,low_overlap_paraphrase,"For this software maintenance work, assemble the source material, quality-check it, and send the finalized outcome under standard assurance in structured JSON.",,,,,,,,,,
v08-con-04-infeasible,v08-con-pair-04,low_overlap_paraphrase,"For this software maintenance work, assemble the source material, quality-check it, and keep the finalized outcome for long-term records under standard assurance in structured JSON.",,,,,,,,,,
v08-con-05-feasible,v08-con-pair-05,disjunction,"For this travel logistics work, assemble the source material, quality-check it, and Choose sending the finalized outcome; retention is context only under standard assurance in structured JSON.",,,,,,,,,,
v08-con-05-infeasible,v08-con-pair-05,disjunction,"For this travel logistics work, assemble the source material, quality-check it, and either send the finalized outcome or keep it for long-term records under standard assurance in structured JSON. The final action is not specified.",,,,,,,,,,
v08-con-06-feasible,v08-con-pair-06,disjunction,"For this data analytics work, assemble the source material, quality-check it, and Choose sending the finalized outcome; retention is context only under standard assurance in structured JSON.",,,,,,,,,,
v08-con-06-infeasible,v08-con-pair-06,disjunction,"For this data analytics work, assemble the source material, quality-check it, and either send the finalized outcome or keep it for long-term records under standard assurance in structured JSON. The final action is not specified.",,,,,,,,,,
v08-con-07-feasible,v08-con-pair-07,disjunction,"For this software maintenance work, assemble the source material, quality-check it, and Choose sending the finalized outcome; retention is context only under standard assurance in structured JSON.",,,,,,,,,,
v08-con-07-infeasible,v08-con-pair-07,disjunction,"For this software maintenance work, assemble the source material, quality-check it, and either send the finalized outcome or keep it for long-term records under standard assurance in structured JSON. The final action is not specified.",,,,,,,,,,
v08-con-08-feasible,v08-con-pair-08,disjunction,"For this research administration work, assemble the source material, quality-check it, and Choose sending the finalized outcome; retention is context only under standard assurance in structured JSON.",,,,,,,,,,
v08-con-08-infeasible,v08-con-pair-08,disjunction,"For this research administration work, assemble the source material, quality-check it, and either send the finalized outcome or keep it for long-term records under standard assurance in structured JSON. The final action is not specified.",,,,,,,,,,
v08-con-09-feasible,v08-con-pair-09,negation,"For this data analytics work, assemble the source material, quality-check it, and send the finalized outcome under standard assurance in structured JSON. Do not use the backup data analytics publisher.",,,,,,,,,,
